1400836	820820
679942	314425
1400836	900368
1032210	300053
1400836	212093
1400836	300053
1032210	187358
1032210	1057569
1400836	65413
1400836	614162
1400836	212089
1032210	109062
1400836	272504
679942	812531
1032210	246487
679942	1092766
1400836	300527
1400836	328023
679942	820820
1032210	900368
1032210	314425
679942	300053
679942	919389
1400836	628696
679942	900542
1032210	1078744
679942	34975
1032210	1092766
679942	39361
1400836	246235
679942	1025947
1400836	1092766
679942	26853
1032210	906232
1400836	496109
679942	628696
1032210	212093
679942	212093
1400836	98665
679942	906232
1400836	10312
679942	1078744
1032210	65413
1400836	314425
1032210	98665
679942	512686
1032210	1102992
1032210	512686
1032210	1050736
1400836	246599
1032210	276033
1032210	246599
679942	1032353
1400836	601021
1032210	820820
679942	496109
679942	1045358
679942	272504
679942	530713
679942	276033
1032210	530713
1400836	959921
1032210	614162
1400836	1078744
679942	246235
679942	338167
1032210	1025947
679942	566157
679942	451672
1400836	246487
679942	10312
1032210	212089
1032210	246611
1032210	1045358
679942	1102992
1400836	451672
1032210	451672
679942	817385
1032210	246235
1032210	272504
1032210	817385
679942	1050736
1400836	1102992
679942	775477
1400836	812531
679942	900368
1032210	601021
679942	246487
1032210	779460
679942	98665
1400836	741664
1032210	10312
679942	874636
679942	246599
1400836	39361
679942	13313
1032210	959921
1400836	906232
679942	246597
1032210	34975
679942	109062
679942	246611
1400836	1057569
1032210	584241
679942	741664
1400836	34975
1032210	628696
1400836	246597
1400836	1045358
1400836	530713
1400836	246611
679942	130364
1032210	812531
1032210	300527
1032210	39361
679942	584241
679942	212089
1032210	149354
1400836	779460
1400836	109062
1032210	328023
679942	65413
1400836	512686
1032210	246597
1400836	338167
679942	149354
679942	328023
1400836	584241
679942	811927
679942	959921
679942	614162
1400836	1025947
1400836	130364
1400836	149354
1400836	187358
1032210	741664
679942	300527
679942	187358
1400836	874636
1032210	338167
1400836	817385
1400836	1050736
679942	282316
679942	779460
679942	601021
1032210	130364
1032210	874636
1400836	276033
679942	1057569
1032210	496109
